CITIES,Levy Code,Levy Rate,Rate
Seattle,0010,7.97153,6.01771
,0014,7.97153,6.01771
,0016,7.97153,6.01771
,0025,7.97153,6.01771
,0030,10.13883,6.01771
,0032,10.13883,6.01771
Algona,0045,10.77437,6.25876
,0050,10.93316,6.25876
,0051,10.95522,6.25876
Auburn,0105,10.88318,6.36757
,0110,10.86112,6.36757
,0112,11.35459,6.83898
,0114,10.88318,6.36757
,0115,10.86112,6.36757
,0116,11.35459,6.83898
,0117,10.88318,6.36757
,0118,11.35459,6.83898
,0120,11.04197,6.36757
,0121,11.04197,6.36757
,0134,11.09819,6.40173
,0135,11.06403,6.36757
,0136,11.09819,6.40173
,0137,11.09819,6.40173
,0139,11.06403,6.36757
,0142,11.06403,6.36757
,0143,11.51338,6.83898
,0144,11.06403,6.36757
,0145,11.04197,6.36757
,0146,11.09819,6.40173
,0185,11.26203,6.87314
,0199,10.75646,6.36757
,0201,11.20581,6.83898
,0202,11.22787,6.83898
,0203,11.20581,6.83898
,0211,11.22787,6.83898
,0216,10.75646,6.36757
Beaux Arts,0251,7.01366,5.00437
,0252,7.03572,5.00437
Bellevue,0310,7.29701,5.11167
,0315,7.27495,5.11167
,0330,6.89967,4.86832
,0331,6.89967,4.86832
,0344,6.89967,4.86832
,0381,7.37108,5.33973
,0385,8.82406,4.86832
,0386,8.75109,4.86832
,0388,9.2225,5.33973
,0390,8.75109,4.86832
,0395,7.25514,4.86832
Des Moines (con't),1078,11.34697,6.85303
,1080,11.34697,6.85303
,1085,11.01338,6.85303
,1090,11.03544,6.85303
,1105,11.01338,6.85303
,1107,11.03544,6.85303
,1109,11.01338,6.85303
,1125,11.01338,6.85303
,1126,11.03544,6.85303
,1139,11.03544,6.85303
,1141,11.03544,6.85303
Duvall,1150,10.11861,6.85928
,1155,10.14067,6.85928
Enumclaw,1175,9.07217,5.38703
,1180,9.09423,5.38703
,1181,9.12835,5.38703
Federal Way,1190,10.75834,6.40337
,1193,10.75834,6.40337
,1195,10.75834,6.40337
,1198,10.75834,6.40337
,1202,10.75834,6.40337
,1204,10.75834,6.40337
,1205,10.75834,6.40337
,1209,10.75834,6.40337
Lake Forest Park,1238,10.49229,5.81248
,1239,10.51435,5.81248
,1243,10.66634,5.81248
,1244,10.49229,5.81248
,1245,10.51435,5.81248
,1255,10.49229,5.81248
,1256,10.51435,5.81248
,1294,10.51435,5.81248
,1295,10.49229,5.81248
,1296,10.91169,6.05583
,1315,10.49229,5.81248
,1318,10.51435,5.81248
,1335,9.86227,6.05583
Hunts Point,1343,5.84484,3.86967
Issaquah,1400,8.9904,4.89346
,1405,9.01246,4.89346
,1430,9.01246,4.89346
