CITIES,Code,Levy Rate,Rate
Seattle,0010,10.50991,7.85685
,0014,10.50991,7.85685
,0016,10.50991,7.85685
,0025,10.50991,7.85685
,0030,13.77304,7.85685
,0032,13.77304,7.85685
Algona,0045,16.02473,8.13502
,0050,15.09686,8.13502
,0051,15.09686,8.13502
Auburn,0105,16.19882,8.30911
,0110,16.19882,8.30911
,0112,16.69882,8.80911
,0114,16.19882,8.30911
,0115,16.19882,8.30911
,0117,16.19882,8.30911
,0118,16.69882,8.80911
,0120,15.27095,8.30911
,0135,15.27095,8.30911
,0136,15.27095,8.30911
,0137,15.27095,8.30911
,0138,15.77095,8.80911
,0142,15.27095,8.30911
,0143,15.77095,8.80911
,0144,15.27095,8.30911
,0145,15.27095,8.30911
,0150,15.77095,8.80911
,0201,15.17724,8.80911
,0202,15.17724,8.80911
,0203,15.17724,8.80911
,0216,15.17724,8.80911
Beaux Arts Village,0251,10.18325,6.79559
,0252,10.18325,6.79559
Bellevue,0300,9.77215,6.38449
,0310,10.2911,6.71133
,0315,10.2911,6.71133
,0330,9.77215,6.38449
,0345,9.86513,6.38449
,0381,10.27215,6.88449
,0388,11.7631,6.88449
,0389,11.35608,6.38449
,0390,11.2631,6.38449
,0391,11.36259,6.38449
,0395,10.2657,6.38449
,0816,12.37727,6.88449
Bothell,0850,11.27624,7.07687
,0851,12.84586,7.07687
,0859,12.84586,7.07687
,0860,12.84586,7.07687
,0870,12.84586,7.07687
Des Moines (cont.),1109,14.91623,8.55081
,1125,14.91623,8.55081
,1126,14.91623,8.55081
,1139,14.91623,8.55081
,1141,14.91623,8.55081
Duvall,1150,14.41292,8.63595
,1155,14.41292,8.63595
Enumclaw,1175,13.7415,7.78667
,1180,13.7415,7.78667
,1181,13.80893,7.78667
Federal Way,1190,16.13871,8.13145
,1193,16.13871,8.13145
,1195,16.13871,8.13145
,1198,16.13871,8.13145
,1202,16.13871,8.13145
,1204,16.13871,8.13145
,1205,16.13871,8.13145
,1209,16.13871,8.13145
Lake Forest Park,1238,14.01308,7.76185
,1239,14.01308,7.76185
,1243,14.2142,7.76185
,1244,14.01308,7.76185
,1245,14.01308,7.76185
,1255,14.01308,7.76185
,1256,14.01308,7.76185
,1294,14.01308,7.76185
,1295,14.01308,7.76185
,1296,14.53203,8.08869
,1315,14.01308,7.76185
,1318,14.01308,7.76185
,1335,13.98194,8.08869
Hunts Point,1343,8.42556,5.10533
Issaquah,1400,11.66978,6.43874
,1405,11.66978,6.43874
,1436,11.66978,6.43874
,1437,11.57029,6.43874
Kenmore,1441,12.50457,8.18094
,1442,14.07419,8.18094
Kent,1451,15.58831,7.90339
,1452,15.58831,7.90339
,1453,15.58831,7.90339
,1455,16.08831,8.40339
,1457,15.58831,7.90339
,1458,15.58831,7.90339
,1461,15.58831,7.90339
,1463,15.58831,7.90339
,1464,15.58831,7.90339
,1467,13.74919,7.90339
,1468,13.74919,7.90339
,1470,13.74919,7.90339
,1511,14.29209,7.90339
Medina,1836,9.68254,6.29488
Milton,1848,16.1266,8.50911
,1850,16.1266,8.50911
,1855,13.22932,8.50911
,1860,13.22932,8.50911
Newcastle,1864,13.02718,7.5344
,1865,13.52718,8.0344
,1867,11.42206,8.0344
,1869,12.41301,7.5344
,1870,12.5125,7.5344
,1872,12.41301,7.5344
,1873,12.91301,8.0344
Normandy Park,1876,15.11574,8.81575
,1882,15.11574,8.81575
,1883,15.11574,8.81575
,1884,15.11574,8.81575
,1896,15.11574,8.81575
,1898,15.11574,8.81575
North Bend,1925,12.73247,7.55444
Pacific,1950,12.8421,7.84967
,1952,12.8421,7.84967
,1960,14.81151,7.84967
Redmond,2010,10.89043,7.26353
,2015,10.37148,6.93669
,2016,10.37148,6.93669
,2019,11.33685,7.26353
,2020,11.38398,7.26353
,2025,11.38398,7.26353
,2053,10.86503,6.93669
,2057,10.86503,6.93669
,2085,11.33685,7.26353
Renton,2100,14.23446,8.80911
,2104,14.23446,8.80911
,2105,14.30189,8.80911
,2106,14.58527,8.80911
,2107,14.57091,8.80911
,2108,13.73446,8.30911
,2124,14.23446,8.80911
,2128,14.57091,8.80911
,2130,14.23446,8.80911
,2132,14.23446,8.80911
,2133,13.18772,8.30911
,2134,13.2807,8.30911
,2142,14.30189,8.80911
,2143,14.30189,8.80911
,2145,14.23446,8.80911
,2146,14.23446,8.80911
,2147,14.23446,8.80911
,2151,14.23446,8.80911
,2152,14.23446,8.80911
,2153,14.30189,8.80911
,2155,14.23446,8.80911
Skykomish,2270,10.27142,8.30826
Snoqualmie,2275,13.26205,8.69911
,2277,13.26205,8.69911
,2278,13.38936,8.69911
,2282,14.04712,8.94911
Tukwila,2310,14.69269,8.84689
,2320,14.69269,8.84689
,2325,14.19269,8.34689
,2326,14.19269,8.34689
,2327,14.69269,8.84689
,2330,13.83967,8.34689
,2340,14.33967,8.84689
,2360,14.33967,8.84689
,2361,14.33967,8.84689
,2380,14.18036,8.34689
,2390,14.68036,8.84689
,2400,14.18036,8.34689
,2401,14.18036,8.34689
,2403,14.18036,8.34689
,2405,14.68036,8.84689
,2406,14.18036,8.34689
,2407,14.18036,8.34689
,2408,14.18036,8.34689
,2413,14.18036,8.34689
,2417,14.18036,8.34689
,2421,14.68036,8.84689
,2422,14.18036,8.34689
,2423,14.18036,8.34689
,2426,14.33967,8.84689
,2430,10.92956,8.34689
,2440,14.19269,8.34689
,2442,14.19269,8.34689
,2443,15.01023,8.84689
,2446,15.01023,8.84689
Woodinville,2500,11.8309,7.75758
,2505,13.40052,7.75758
,2510,13.40052,7.75758
Yarrow Point,2650,8.78915,5.46892
,2660,8.78915,5.46892
,2670,9.3081,5.79576
Seattle - 001,3006,10.04178,7.45911
,3010,10.04178,7.45911
,3015,11.54178,8.95911
,3018,11.54178,8.95911
,3030,11.54178,8.95911
Federal Way - 210,3266,16.64403,8.95911
,3268,16.96637,8.95911
,3269,16.64403,8.95911
,3305,16.96637,8.95911
,3415,16.96637,8.95911
,3416,16.64403,8.95911
,3425,16.96637,8.95911
,3490,16.96637,8.95911
Enumclaw - 216,3530,13.48137,7.45911
,3531,13.48137,7.45911
,3532,14.98137,8.95911
,3533,14.98137,8.95911
,3550,14.67855,8.65629
,3551,14.67855,8.65629
,3565,15.33658,8.95911
,3571,15.33658,8.95911
,3575,14.84371,8.45911
,3576,14.84371,8.45911
Highline - 401,3642,14.80491,8.95911
,3645,14.80491,8.95911
,3660,14.30491,8.45911
,3697,14.80491,8.95911
,3705,14.80491,8.95911
,3710,14.80491,8.95911
,3774,14.80491,8.95911
,3780,14.80491,8.95911
,3850,14.80491,8.95911
Vashon - 402,4045,13.32272,9.14703
,4050,13.32272,9.14703
,4055,13.32272,9.14703
,4060,13.32272,9.14703
Renton - 403,4125,15.85898,9.45911
,4126,15.85898,9.45911
,4155,14.95189,9.45911
,4170,14.72091,8.95911
,4205,15.85898,9.45911
,4215,15.85898,9.45911
,4216,15.85898,9.45911
,4250,14.72091,8.95911
,4342,14.95189,9.45911
,4350,14.95189,9.45911
,4355,14.45189,8.95911
,4370,14.95189,9.45911
,4398,14.72091,8.95911
,4399,14.95189,9.45911
Auburn - 408,4730,15.71616,8.95911
Kent - 415 (cont),5160,15.39147,8.95911
,5165,15.86255,9.45911
,5166,15.36255,8.95911
,5175,15.12245,8.95911
,5181,15.12245,8.95911
Fife - 888,5226,14.06909,8.95911
,5229,14.06909,8.95911
Skykomish - 404,6075,9.42227,7.45911
,6076,10.80507,8.84191
,6079,10.80507,8.84191
Riverview - 407,6370,12.49327,7.45911
,6371,13.01222,7.78595
,6373,12.99327,7.95911
,6384,14.62058,9.45911
,6385,14.62058,9.45911
,6386,14.62058,9.45911
,6390,14.51222,9.28595
,6395,13.99327,8.95911
