CITIES,Levy Code,Levy Rate,Senior Rate
Seattle,0010,9.24803,6.89507
,0011,9.24803,6.89507
,0012,9.24803,6.89507
,0014,9.24803,6.89507
,0016,9.24803,6.89507
,0025,9.24803,6.89507
,0030,12.80943,6.89507
,0032,12.80943,6.89507
Algona,0045,13.57073,7.02133
,0050,13.99657,7.02133
,0051,13.99657,7.02133
Auburn,0105,14.232,7.6826
,0110,14.232,7.6826
,0112,14.73289,8.18349
,0114,14.232,7.6826
,0115,14.232,7.6826
,0117,14.232,7.6826
,0118,14.73289,8.18349
,0120,14.65784,7.6826
,0133,14.65784,7.6826
,0135,14.40784,7.4326
,0136,14.65784,7.6826
,0137,14.65784,7.6826
,0138,15.15873,8.18349
,0142,14.65784,7.6826
,0143,15.15873,8.18349
,0144,14.65784,7.6826
,0145,14.65784,7.6826
,0150,15.15873,8.18349
,0201,13.2315,8.18349
,0202,13.2315,8.18349
,0203,13.2315,8.18349
,0216,13.2315,8.18349
Beaux Arts Village,0251,8.72,5.7051
,0252,8.72,5.7051
Bellevue,0300,8.71998,5.70508
,0310,9.07852,5.94799
,0315,9.07852,5.94799
,0330,8.71998,5.70508
,0345,8.78637,5.70508
,0381,9.22087,6.20597
,0388,10.35605,6.20597
,0389,9.92155,5.70508
,0390,9.85516,5.70508
,0391,9.67499,5.45508
,0393,9.92499,5.70508
,0395,8.95358,5.70508
,0396,9.60516,5.45508
,0816,11.25184,6.20597
Des Moines,1072,14.59692,7.86131
,1074,14.59692,7.86131
,1076,14.59692,7.86131
,1078,14.59692,7.86131
,1080,14.59692,7.86131
,1085,13.99212,7.86131
,1090,13.99212,7.86131
,1105,13.99212,7.86131
,1107,13.99212,7.86131
,1109,13.99212,7.86131
,1125,13.99212,7.86131
,1126,13.99212,7.86131
,1139,13.99212,7.86131
,1141,13.99212,7.86131
Duvall,1155,12.41781,7.59997
Enumclaw,1175,11.86599,7.29557
,1180,11.86599,7.29557
,1181,11.91599,7.29557
Federal Way,1190,13.93066,7.19505
,1193,13.93066,7.19505
,1195,13.93066,7.19505
,1198,13.93066,7.19505
,1202,13.93066,7.19505
,1204,13.93066,7.19505
,1205,13.93066,7.19505
,1209,13.93066,7.19505
Lake Forest Park,1238,10.69747,6.54016
,1239,10.69747,6.54016
,1243,10.79896,6.54016
,1244,10.69747,6.54016
,1245,10.69747,6.54016
,1255,10.69747,6.54016
,1256,10.69747,6.54016
,1294,10.69747,6.54016
,1295,10.69747,6.54016
,1296,11.05601,6.78307
,1315,10.69747,6.54016
,1318,10.69747,6.54016
,1335,11.18145,6.78307
Hunts Point,1343,7.40804,4.44314
Issaquah,1400,9.90707,5.50863
,1404,9.65707,5.25863
,1405,9.90707,5.50863
,1418,9.90363,5.50863
,1420,9.97346,5.50863
,1435,9.58724,5.25863
,1436,9.90707,5.50863
,1437,9.83724,5.50863
Kenmore,1441,10.67189,6.79057
,1442,11.52931,6.79057
Kent,1451,13.22545,6.82221
,1452,13.22545,6.82221
Maple Valley,1810,12.67125,6.70739
,1811,12.67125,6.70739
,1812,12.67125,6.70739
,1813,12.67125,6.70739
,1814,13.17214,7.20828
,1817,12.67125,6.70739
,1818,12.67125,6.70739
,1821,12.67125,6.70739
,1826,12.15716,7.20828
,1827,12.15716,7.20828
Medina,1836,8.33063,5.31573
Milton,1848,14.07914,7.7259
,1860,12.14134,7.7259
Newcastle,1864,11.36497,6.3191
,1865,11.86586,6.81999
,1867,9.83489,6.81999
,1869,10.46918,6.3191
,1870,10.28901,6.0691
,1872,10.46918,6.3191
,1873,10.97007,6.81999
Normandy Park,1876,14.18333,8.07713
,1882,14.18333,8.07713
,1883,14.18333,8.07713
,1884,14.18333,8.07713
,1896,14.18333,8.07713
,1898,14.18333,8.07713
North Bend,1925,11.94443,6.61947
,1928,12.09313,6.61947
Pacific,1950,11.56141,6.94981
,1952,11.56141,6.94981
,1960,13.92505,6.94981
Redmond,2010,9.32106,6.15735
,2015,8.96252,5.91444
,2016,8.96252,5.91444
,2017,9.52148,6.15735
,2019,9.27148,5.90735
,2020,9.55466,6.15735
,2021,9.27148,5.90735
,2025,9.55466,6.15735
,2053,9.19612,5.91444
,2057,9.19612,5.91444
,2085,9.52148,6.15735
Renton,2100,12.67017,7.6743
,2104,12.67017,7.6743
,2105,12.72017,7.6743
,2106,12.72017,7.6743
,2107,12.9354,7.6743
,2108,12.16928,7.17341
,2120,12.72017,7.6743
,2124,12.67017,7.6743
,2128,12.9354,7.6743
,2130,12.67017,7.6743
SeaTac (cont.),2218,13.2566,7.45816
,2219,13.2566,7.45816
,2222,13.2566,7.45816
,2225,13.75749,7.95905
,2226,13.2566,7.45816
,2228,13.2566,7.45816
,2230,13.75749,7.95905
,2231,13.2566,7.45816
,2232,13.75749,7.95905
,2240,13.00492,7.95905
,2243,13.41468,7.95905
,2245,12.91379,7.45816
,2246,13.41468,7.95905
,2251,12.8609,7.95905
,2252,12.8609,7.95905
Shoreline,2258,11.22999,6.95387
,2259,11.22999,6.95387
,2260,11.22999,6.95387
,2261,11.22999,6.95387
,2262,11.22999,6.95387
,2263,11.22999,6.95387
,2266,11.22999,6.95387
Skykomish,2270,9.86607,7.51269
Snoqualmie,2275,12.62145,7.53623
,2277,12.62145,7.53623
,2278,12.70015,7.53623
,2282,13.37893,8.11388
,2290,13.52763,8.11388
Tukwila,2310,14.07708,7.80721
,2320,14.07708,7.80721
,2325,13.57619,7.30632
,2326,13.57619,7.30632
,2327,14.07708,7.80721
,2330,12.82362,7.30632
,2340,13.32451,7.80721
,2360,13.32451,7.80721
,2361,13.32451,7.80721
,2380,13.23338,7.30632
,2390,13.73427,7.80721
,2400,13.23338,7.30632
,2401,13.23338,7.30632
,2403,13.23338,7.30632
